birthplace,date_of_birth,race_ethnicity,sexual_orientation,year_of_award,award,movie,person
Macon_Ga,1901-04-05,White,Straight,1980,Best_Supporting_Actor,Being_There,Melvyn_Douglas
Malibu_Ca,1960-08-16,White,Straight,1981,Best_Supporting_Actor,Oridnary_People,Timothy_Hutton
London_England,1904-04-14,White,Gay,1982,Best_Supporting_Actor,Arthur,John_Gielgud
Brooklyn_Ny,1936-05-27,Black,Straight,1983,Best_Supporting_Actor,An_Officer_and_a_Gentleman,Lou_Gossett_Jr
New_York_City,1937-04-22,White,Straight,1984,Best_Supporting_Actor,Terms_of_Endearment,Jack_Nicholson
Samrong_Young_Cambodia,1940-03-22,Asian,Straight,1985,Best_Supporting_Actor,The_Killing_Fields,Haing_S_Ngor
Kenosha_Wi,1904-05-31,White,Straight,1986,Best_Supporting_Actor,Cocoon,Don_Ameche
Bermondsey_England,1933-03-14,White,Straight,1987,Best_Supporting_Actor,Hannah_and_Her_Sisters,Michael_Caine
Edinburgh_Scotland,1930-08-25,White,Straight,1988,Best_Supporting_Actor,The_Untouchables,Sean_Connery
St_Louis_Mo,1947-10-24,White,Straight,1989,Best_Supporting_Actor,A_Fish_Called_Wanda,Kevin_Kline
Mount_Vernon_Ny,1954-12-28,Black,Straight,1990,Best_Supporting_Actor,Glory,Denzel_Washington
Newark_Nj,1943-02-09,White,Straight,1991,Best_Supporting_Actor,Good_Fellas,Joe_Pesci
Lattimer_Mines_Pa,1919-02-18,White,Straight,1992,Best_Supporting_Actor,City_Slickers,Jack_Palance
San_Bernardino_Ca,1930-01-30,White,Straight,1993,Best_Supporting_Actor,Unforgiven,Gene_Hackman
San_Saba_Tx,1946-09-15,White,Straight,1994,Best_Supporting_Actor,The_Fugitive,Tommy_Lee_Jones
Brooklyn_Ny,1931-06-20,White,Straight,1995,Best_Supporting_Actor,Ed_Wood,Martin_Landau
South_Orange_Nj,1959-07-26,White,Matter of Dispute,1996,Best_Supporting_Actor,The_Usual_Suspects,Kevin_Spacey
Bronx_Ny,1968-01-02,Black,Straight,1997,Best_Supporting_Actor,Jerry_Maguire,Cuba_Gooding_Jr
Chicago_Il,1951-07-21,White,Straight,1998,Best_Supporting_Actor,Good_Will_Hunting,Robin_Williams
Laurel_Ne,1928-08-31,White,Straight,1999,Best_Supporting_Actor,Affliction,James_Coburn
Bermondsey_England,1933-03-14,White,Straight,2000,Best_Supporting_Actor,The_Cider_House_Rules,Michael_Caine
Santurce_Puerto_Rico,1967-02-19,Hispanic,Straight,2001,Best_Supporting_Actor,Traffic,Benicio_Del_Toro
Lincoln_Lincolnshire_England,1949-05-24,White,Straight,2002,Best_Supporting_Actor,Iris,Jim_Broadbent
Kansas_City_Mo,1951-07-09,White,Straight,2003,Best_Supporting_Actor,Adaptation,Chris_Cooper
West_Covina_Ca,1958-10-16,White,Straight,2004,Best_Supporting_Actor,Mystic_River,Tim_Robbins
Memphis_Tn,1937-06-01,Black,Straight,2005,Best_Supporting_Actor,Million_Dollar_Baby,Morgan_Freeman
Lexington_Ky,1961-05-06,White,Straight,2006,Best_Supporting_Actor,Syriana,George_Clooney
Brooklyn_Ny,1934-03-26,White,Straight,2007,Best_Supporting_Actor,Little_Miss_Sunshine,Alan_Arkin
Las_Palmas_De_Gran_Canaria_Canary_Islands,1969-03-01,Hispanic,Straight,2008,Best_Supporting_Actor,No_Country_for_Old_Men,Javier_Bardem
Perth_Australia,1979-04-04,White,Straight,2009,Best_Supporting_Actor,The_Dark_Knight,Heath_Ledger
Vienna_Austria,1956-10-04,White,Straight,2010,Best_Supporting_Actor,Inglourious_Basterds,Christoph_Waltz
Haverfordwest_Pembrokeshire_Wales,1974-01-30,White,Straight,2011,Best_Supporting_Actor,The_Fighter,Christian_Bale
Toronto_Ontario_Canada,1929-12-13,White,Straight,2012,Best_Supporting_Actor,Beginning,Christopher_Plummer
Vienna_Austria,1956-10-04,White,Straight,2013,Best_Supporting_Actor,Django_Unchained,Christoph_Waltz
Bossier_City_La,1971-12-26,White,Straight,2014,Best_Supporting_Actor,Dallas_Buyers_Club,Jared_Leto
Philadelphia_Pa,1906-10-06,White,Straight,1929,Best_Actress,7th_Heaven,Janet_Gaynor
Toronto_Ontario_Canada,1892-04-08,White,Straight,1930,Best_Actress,Coquette,Mary_Pickford
Montreal_Quebec_Canada,1902-08-10,White,Straight,1930,Best_Actress,The_Divorcee,Norma_Shearer
Cobourg_Ontario_Canada,1868-11-02,White,Straight,1931,Best_Actress,Min_and_Bill,Marie_Dressler
