_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold,Nationality,gender
670454414,False,finalized,3,2/10/15 2:05,Parma_EmiliaRomagna_Italy,1.0,16-Mar-1941,1.0,White,1.0,Na,1.0,Straight,1.0,1988,1.0,Best_Director,http://www.nndb.com/people/268/000024196/,Parma_EmiliaRomagna_Italy,16-Mar-1941,The_Last_Emperor,Bernardo_Bertolucci,White,Na,Straight,1988,Italy,Male
670454415,False,finalized,3,2/10/15 1:51,Baltimore_Md,1.0,6-Apr-1942,1.0,White,1.0,Jewish,0.6667,Straight,1.0,1989,1.0,Best_Director,http://www.nndb.com/people/748/000023679/,Baltimore_Md,6-Apr-1942,Rain_Man,Barry_Levinson,White,Jewish,Straight,1989,United States,Male
670454416,False,finalized,3,2/10/15 2:07,New_York_City,1.0,15-Sep-1946,1.0,White,1.0,Atheist,1.0,Straight,1.0,1990,1.0,Best_Director,http://www.nndb.com/people/545/000022479/,New_York_City,15-Sep-1946,Born_on_the_Fourth_of_July,Oliver_Stone,White,Atheist,Straight,1990,United States,Male
670454417,False,finalized,3,2/10/15 1:55,Lynwood_Ca,1.0,18-Jan-1955,1.0,White,1.0,Baptist,1.0,Straight,1.0,1991,1.0,Best_Director,http://www.nndb.com/people/758/000022692/,Lynwood_Ca,18-Jan-1955,Dances_with_Wolves,Kevin_Costner,White,Baptist,Straight,1991,United States,Male
670454418,False,finalized,3,2/10/15 2:11,Baldwin_Ny,1.0,22-Feb-1944,1.0,White,1.0,Na,1.0,Straight,1.0,1992,1.0,Best_Director,http://www.nndb.com/people/578/000024506/,Baldwin_Ny,22-Feb-1944,The_Silence_of_the_Lambs,Jonathan_Demme,White,Na,Straight,1992,United States,Male
670454419,False,finalized,3,2/10/15 1:55,San_Francisco_Ca,1.0,31-May-1930,1.0,White,1.0,Na,1.0,Straight,1.0,1993,1.0,Best_Director,http://www.nndb.com/people/849/000022783/,San_Francisco_Ca,31-May-1930,Unforgiven,Clint_Eastwood,White,Na,Straight,1993,United States,Male
670454420,False,finalized,3,2/10/15 3:48,Cincinnati_Oh,1.0,18-Dec-1946,1.0,White,1.0,Jewish,1.0,Straight,1.0,1994,1.0,Best_Director,http://www.nndb.com/people/734/000022668/,Cincinnati_Oh,18-Dec-1946,Schindlers_List,Steven_Spielberg,White,Jewish,Straight,1994,United States,Male
670454421,False,finalized,3,2/10/15 2:14,Chicago_Il,1.0,14-May-1952,1.0,White,1.0,Roman_Catholic,1.0,Straight,1.0,1995,0.6923,Best_Director,http://www.nndb.com/people/224/000025149/,Chicago_Il,14-May-1952,Forrest_Gump,Robert_Zemeckis,White,Roman_Catholic,Straight,1995,United States,Male
670454422,False,finalized,3,2/10/15 2:11,Peekskill_Ny,1.0,3-Jan-1956,1.0,White,1.0,Roman_Catholic,1.0,Straight,1.0,1996,1.0,Best_Director,http://www.nndb.com/people/583/000022517/,Peekskill_Ny,3-Jan-1956,Braveheart,Mel_Gibson,White,Roman_Catholic,Straight,1996,Australia,Male
670454423,False,finalized,3,2/10/15 2:19,Ryde_Isle_of_Wight_England,1.0,6-Jan-1954,1.0,White,1.0,Na,1.0,Straight,1.0,1997,1.0,Best_Director,http://www.nndb.com/people/513/000032417/,Ryde_Isle_of_Wight_England,6-Jan-1954,The_English_Patient,Anthony_Minghella,White,Na,Straight,1997,England,Male
670454424,False,finalized,3,2/10/15 1:53,Kapuskasing_Ontario_Canada,1.0,16-Aug-1954,1.0,White,1.0,Atheist,0.6667,Straight,1.0,1998,1.0,Best_Director,http://www.nndb.com/people/385/000025310/,Kapuskasing_Ontario_Canada,16-Aug-1954,Titanic,James_Cameron,White,Atheist,Straight,1998,Canada,Male
670454425,False,finalized,3,2/10/15 3:55,Cincinnati_Oh,1.0,18-Dec-1946,1.0,White,1.0,Jewish,1.0,Straight,1.0,1999,1.0,Best_Director,http://www.nndb.com/people/734/000022668/,Cincinnati_Oh,18-Dec-1946,Saving_Private_Ryan,Steven_Spielberg,White,Jewish,Straight,1999,United States,Male
670454426,False,finalized,3,2/10/15 3:45,Reading_Berkshire_England,1.0,1-Aug-1965,1.0,White,1.0,Na,1.0,Straight,1.0,2000,1.0,Best_Director,http://www.nndb.com/people/059/000025981/,Reading_Berkshire_England,1-Aug-1965,American_Beauty,Sam_Mendes,White,Na,Straight,2000,England,Male
670454427,False,finalized,3,2/10/15 2:00,Atlanta_Ga,1.0,14-Jan-1963,1.0,White,1.0,Atheist,1.0,Straight,1.0,2001,1.0,Best_Director,http://www.nndb.com/people/907/000025832/,Atlanta_Ga,14-Jan-1963,Traffic,Steven_Soderbergh,White,Atheist,Straight,2001,United States,Male
670454428,False,finalized,3,2/10/15 3:51,Duncan_Ok,1.0,1-Mar-1954,1.0,White,1.0,Na,1.0,Straight,1.0,2002,1.0,Best_Director,http://www.nndb.com/people/365/000025290/,Duncan_Ok,1-Mar-1954,A_Beautiful_Mind,Ron_Howard,White,Na,Straight,2002,United States,Male
670454429,False,finalized,3,2/10/15 2:04,Paris_France,1.0,18-Aug-1933,1.0,White,1.0,See_Note,0.3333,Straight,1.0,2003,1.0,Best_Director,http://www.nndb.com/people/541/000023472/,Paris_France,18-Aug-1933,The_Pianist,Roman_Polanski,White,See_Note,Straight,2003,France,Male
