birthplace,date_of_birth,race_ethnicity,sexual_orientation,year_of_award,award,movie,person,Coordinates
Burbank_Ca,1960-08-17,White,Straight,2009,Best_Actor,Milk,Sean_Penn,"[34.1808, -118.3089]"
Los_Angeles_Ca,1949-12-04,White,Straight,2010,Best_Actor,Crazy_Heart,Jeff_Bridges,"[34.052235, -118.243683]"
Grayshott_Hampshire_England,1960-09-10,White,Straight,2011,Best_Actor,The_Kings_Speech,Colin_Firth,"[51.1152, -0.7457]"
RueilMalmaison_HautsDeSeine_France,1972-06-19,White,Straight,2012,Best_Actor,The_Artist,Jean_Dujardin,"[48.876, 2.182]"
London_England,1957-04-29,White,Straight,2013,Best_Actor,Lincoln,Daniel_DayLewis,"[51.507351, -0.127758]"
Uvalde_Tx,1969-11-04,White,Straight,2014,Best_Actor,Dallas_Buyers_Club,Matthew_McConaughey,"[29.2097, -99.7861]"
Swampscott_Ma,1894-07-25,White,Straight,1938,Best_Supporting_Actor,Come_and_Get_It,Walter_Brennan,"[42.4709, -70.9196]"
Vienna_Austria,1896-03-22,White,Straight,1938,Best_Supporting_Actor,The_Life_of_Emile_Zola,Joseph_Schildkraut,"[48.208354, 16.372504]"
Swampscott_Ma,1894-07-25,White,Straight,1939,Best_Supporting_Actor,Kentucky,Walter_Brennan,"[42.4709, -70.9196]"
Elizabeth_Nj,1892-07-11,White,Straight,1940,Best_Supporting_Actor,Stagecoach,Thomas_Mitchell,"[40.6631, -74.2107]"
Swampscott_Ma,1894-07-25,White,Straight,1941,Best_Supporting_Actor,The_Westerner,Walter_Brennan,"[42.4709, -70.9196]"
London_England,1880-07-27,White,Straight,1942,Best_Supporting_Actor,How_Green_Was_My_Valley,Donald_Crisp,"[51.507351, -0.127758]"
Walters_Ok,1910-12-13,White,Straight,1943,Best_Supporting_Actor,Johnny_Eager,Van_Heflin,"[34.3626, -98.3052]"
Savannah_Ga,1877-06-17,White,Straight,1944,Best_Supporting_Actor,The_More_the_Merrier,Charles_Coburn,"[32.0836, -81.0998]"
Dublin_Ireland,1888-03-10,White,Straight,1945,Best_Supporting_Actor,Going_My_Way,Barry_Fitzgerald,"[53.3498, -6.2603]"
New_York_City,1901-11-02,White,Straight,1946,Best_Supporting_Actor,A_Tree_Grows_in_Brooklyn,James_Dunn,"[40.712776, -74.005974]"
North_Sydney_Nova_Scotia_Canada,1914-01-14,White,Straight,1947,Best_Supporting_Actor,The_Best_Years_of_Our_Lives,Harold_Russell,"[46.2487, -60.2519]"
Vale_of_Glamorgan_Wales,1875-09-26,White,Straight,1948,Best_Supporting_Actor,Miracle_on_34th_Street,Edmund_Gwenn,"[51.4274, -3.2694]"
Toronto_Ontario_Canada,1884-04-06,White,Straight,1949,Best_Supporting_Actor,The_Treasure_of_the_Sierra_Madre,Walter_Huston,"[43.6511, -79.383]"
Lima_Oh,1903-11-07,White,Straight,1950,Best_Supporting_Actor,Twelve_OClock_High,Dean_Jagger,"[40.7421, -84.1052]"
St_Petersburg_Russia,1906-07-03,White,Straight,1951,Best_Supporting_Actor,All_About_Eve,George_Sanders,"[59.9343, 30.3351]"
Chicago_Il,1912-03-22,White,Straight,1952,Best_Supporting_Actor,A_Streetcar_Named_Desire,Karl_Malden,"[41.878113, -87.629799]"
Chihuahua_Mexico,1915-04-21,Hispanic,Straight,1953,Best_Supporting_Actor,Viva_Zapata,Anthony_Quinn,"[28.6353, -106.0889]"
Hoboken_Nj,1915-12-12,White,Straight,1954,Best_Supporting_Actor,From_Here_to_Eternity,Frank_Sinatra,"[40.7434, -74.0324]"
New_York_City,1915-09-10,White,Straight,1955,Best_Supporting_Actor,The_Barefoot_Contessa,Edmond_OBrien,"[40.712776, -74.005974]"
Newton_Ma,1925-02-08,White,Straight,1956,Best_Supporting_Actor,Mister_Roberts,Jack_Lemmon,"[42.33698, -71.209221]"
Chihuahua_Mexico,1915-04-21,Hispanic,Straight,1957,Best_Supporting_Actor,Lust_for_Life,Anthony_Quinn,"[28.6353, -106.0889]"
New_York_City,1919-02-05,White,Straight,1958,Best_Supporting_Actor,Sayonara,Red_Buttons,"[40.712776, -74.005974]"
Hunt_City_Il,1909-06-14,White,Straight,1959,Best_Supporting_Actor,The_Big_Country,Burl_Ives,"[39.6797, -88.5289]"
Marian_Glas_Anglesey_Wales,1912-05-30,White,Straight,1960,Best_Supporting_Actor,BenHur,Hugh_Griffith,"[53.3554, -4.2445]"
London_England,1921-04-16,White,Straight,1961,Best_Supporting_Actor,Spartacus,Peter_Ustinov,"[51.507351, -0.127758]"
Norwood_Oh,1934-09-16,White,Gay,1962,Best_Supporting_Actor,West_Side_Story,George_Chakiris,"[39.1542, -84.4513]"
Hartford_Ct,1901-03-25,White,Straight,1963,Best_Supporting_Actor,Sweet_Bird_of_Youth,Ed_Begley_Sr,"[41.7658, -72.6734]"
Macon_Ga,1901-04-05,White,Straight,1964,Best_Supporting_Actor,Hud,Melvyn_Douglas,"[32.8407, -83.6324]"
London_England,1921-04-16,White,Straight,1965,Best_Supporting_Actor,Topkapi,Peter_Ustinov,"[51.507351, -0.127758]"
